,Date,MetaData,raw_text,text
478,Fri Feb 01 09:41:12 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PiyushGoyal', 'name': 'Piyush Goyal', 'id': 1324334436, 'id_str': '1324334436', 'indices': [107, 119]}], 'urls': [{'url': 'https://t.co/WUjrjSlyl6', 'expanded_url': 'https://twitter.com/i/web/status/1091270231551430656', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}","#BudgetWithMint | Admitting the stress in farm incomes due to a fall in global &amp; domestic food prices, @PiyushGoyal… https://t.co/WUjrjSlyl6","#BudgetWithMint | Admitting the stress in farm incomes due to a fall in global & domestic food prices, @PiyushGoyal announced a new PM-Kisan scheme promising farmers a direct income support of ₹6,000 every year.

Read more: https://goo.gl/N3DD6J 
#Budget2019
#BudgetForNewIndiapic.twitter.com/pIyE15FvpR"
479,Fri Feb 01 09:40:00 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rjy4Yt0yPV', 'expanded_url': 'https://twitter.com/i/web/status/1091269928240394240', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",#BudgetWithMint | FM proposed to provide a 2 percentage point interest concession on loans of ₹1 crore availed by G… https://t.co/rjy4Yt0yPV,"#BudgetWithMint | FM proposed to provide a 2 percentage point interest concession on loans of ₹1 crore availed by GST registered MSMEs. 

#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://mintne.ws/2CVTSlU "
480,Fri Feb 01 09:30:22 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ODNlsEJatS', 'expanded_url': 'https://twitter.com/i/web/status/1091267502909190147', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","#BudgetWithMint | ""The Interim Finance Minister tested our patience by the longest interim budget speech in the rec… https://t.co/ODNlsEJatS","#BudgetWithMint | ""The Interim Finance Minister tested our patience by the longest interim budget speech in the recent memory,"" says Former finance minister @PChidambaram_IN 

For more: https://goo.gl/mwnb6U 
#Budget2019
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/RxNg1KmX9f"
481,Fri Feb 01 09:30:00 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wuVQ1PWg7n', 'expanded_url': 'https://twitter.com/i/web/status/1091267413092458498', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",#BudgetWithMint | All tax returns filed will be processed in 24 hours and the refund initiated simultaneously… https://t.co/wuVQ1PWg7n,"#BudgetWithMint | All tax returns filed will be processed in 24 hours and the refund initiated simultaneously

#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://mintne.ws/2G3fTmF "
482,Fri Feb 01 09:24:00 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PiyushGoyal', 'name': 'Piyush Goyal', 'id': 1324334436, 'id_str': '1324334436', 'indices': [35, 47]}], 'urls': [{'url': 'https://t.co/7O3zqcGNjW', 'expanded_url': 'https://twitter.com/i/web/status/1091265901490393090', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",#BudgetWithMint | Finance Minister @PiyushGoyal said that the priority of the government will be to build next-gene… https://t.co/7O3zqcGNjW,"#BudgetWithMint | Finance Minister @PiyushGoyal said that the priority of the government will be to build next-generation infrastructure

#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://mintne.ws/2D3CqMy "
483,Fri Feb 01 09:20:13 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SBIJFouYYS', 'expanded_url': 'https://twitter.com/i/web/status/1091264950578798592', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","#BudgetWithMint | ""Opposition has no issues to talk about, they are scared of Modi Ji’s welfare schemes,"" says Unio… https://t.co/SBIJFouYYS","#BudgetWithMint | ""Opposition has no issues to talk about, they are scared of Modi Ji’s welfare schemes,"" says Union Minister @dpradhanbjp 

For more: https://goo.gl/mwnb6U 
#Budget2019
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/quVlrLgYzV"
484,Fri Feb 01 09:10:00 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}, {'text': 'Budget2019', 'indices': [102, 113]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fLdcSrUMIC', 'expanded_url': 'https://twitter.com/i/web/status/1091262378648322049', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}","#BudgetWithMint | There will be no tax deducted at source (TDS) for interest income of up to ₹40,000

#Budget2019… https://t.co/fLdcSrUMIC","#BudgetWithMint | There will be no tax deducted at source (TDS) for interest income of up to ₹40,000

#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://www.livemint.com/budget/news/tds-threshold-for-interest-rent-hiked-1549010004700.html …"
485,Fri Feb 01 08:59:58 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Z4dbMHN6QK', 'expanded_url': 'https://twitter.com/i/web/status/1091259852003803136', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","#BudgetWithMint | ""Those sitting in AC rooms cannot understand the plight of the small farmers,"" says Finance Minis… https://t.co/Z4dbMHN6QK","#BudgetWithMint | ""Those sitting in AC rooms cannot understand the plight of the small farmers,"" says Finance Minister @PiyushGoyal on #Budget2019

For more: https://goo.gl/mwnb6U 
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/BDzQ9438NZ"
486,Fri Feb 01 08:56:06 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PiyushGoyal', 'name': 'Piyush Goyal', 'id': 1324334436, 'id_str': '1324334436', 'indices': [35, 47]}], 'urls': [{'url': 'https://t.co/oe0dzkYk4y', 'expanded_url': 'https://twitter.com/i/web/status/1091258879831240704', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","#BudgetWithMint | Finance Minister @PiyushGoyal lays down 10 dimensional vision for India’s future. Listen in! 

Re… https://t.co/oe0dzkYk4y","#BudgetWithMint | Finance Minister @PiyushGoyal lays down 10 dimensional vision for India’s future. Listen in! 

Read more: https://goo.gl/mwnb6U 
#Budget2019
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/Ppk03Q2nD6"
487,Fri Feb 01 08:45:59 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3qs4WbVy83', 'expanded_url': 'https://twitter.com/i/web/status/1091256333091844097', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","#BudgetWithMint | SBI posted a net profit ₹3,954.81 crore compared to a loss of ₹2,416.37 crore in the year-ago per… https://t.co/3qs4WbVy83","#BudgetWithMint | SBI posted a net profit ₹3,954.81 crore compared to a loss of ₹2,416.37 crore in the year-ago period

#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://www.livemint.com/companies/company-results/sbi-q3-net-profit-at-rs-3-955-crore-asset-quality-improves-1549009807095.html …"
